E    #       LOSS ENTIT...  SENTS_F  SENTS_P  SENTS_R  ENTS_F  ENTS_P  ENTS_R  NEL_MICRO_F  NEL_MICRO_R  NEL_MICRO_P  SCORE 
---  ------  -------------  -------  -------  -------  ------  ------  ------  -----------  -----------  -----------  ------
  0       0           2.04    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0     200         115.47    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0     400          99.57    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0     600         103.47    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0     800         104.80    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0    1000         112.13    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0    1200         121.69    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
  0    1400         126.43    24.70    16.89    45.92    0.00    0.00    0.00        93.47        93.47        93.47    0.39
